Project,Name,StartDate,EndDate,PlannedVelocity,State,Theme,Notes,dataset
Payment Team,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
Reseller Portal Team,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
Reseller Site,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,10,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
Shopping Team,Iteration 2,9/25/2017 9:35,10/8/2017 9:35,12,Accepted,<ul><li>Shop for Items</li><li>Start Shipping functionality</li><li>Purchase your Items - Part 1</li></ul>,,Summer
Analytics Team,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,12,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
API Team,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,12,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
Consumer Site,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,12,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
Fulfillment Team,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,12,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
Online Store,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,12,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
Payment Team,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,12,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
Reseller Portal Team,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,12,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
Reseller Site,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,12,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
Shopping Team,Iteration 3,10/9/2017 9:35,10/22/2017 9:35,25,Accepted,<ul><li>Be able to Ship an Order</li><li>Provide Credit Card support</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Gigi, <b>Scribe:</b> Sara</i>)<br /><br /><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul><li>Align standup start time with Sara's bus schedule.</li><li>Improve test coverage from 8% to 12%</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><br /> <ul> <li><i>None.</i></li> </ul>",Summer
Analytics Team,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,20,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
API Team,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,20,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
Consumer Site,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,20,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
Fulfillment Team,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,20,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
Online Store,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,20,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
Payment Team,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,20,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
Reseller Portal Team,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,20,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
Reseller Site,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,20,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
Shopping Team,Iteration 4,10/23/2017 9:35,11/5/2017 9:35,25,Accepted,<ul><li>Hardening for ML</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> Paul, <b>Scribe:</b> John</i>)<br /><br /> <b>Appreciations</b><ul><li>Sara appreciated Susan for pair programming.</li><li>David appreciated John for attending standsups on-time.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i><ul> <li>Improve test coverage from 12% to 20%</li> <li>Add standup question 'What new information have we learned?'</li> <li>Learn Ruby as primary scripting lang</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Work with QA to move a team member into the dev area</li> <li>Request Agile Coach for Agile tune up</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>None.</li> </ul>",Summer
Analytics Team,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,18,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b><ul><li>Paul appreciated John for helping with Ruby.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i> <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li><li>Switch from cruise control to jenkins.</li> </ul><b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul><b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i><ul> <li>Not enough professional development offered to team</li><li>Weather in California is too nice to work indoors.</li> </ul>",Summer
API Team,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,18,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b><ul><li>Paul appreciated John for helping with Ruby.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i> <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li><li>Switch from cruise control to jenkins.</li> </ul><b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul><b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i><ul> <li>Not enough professional development offered to team</li><li>Weather in California is too nice to work indoors.</li> </ul>",Summer
Consumer Site,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,18,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b><ul><li>Paul appreciated John for helping with Ruby.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i> <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li><li>Switch from cruise control to jenkins.</li> </ul><b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul><b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i><ul> <li>Not enough professional development offered to team</li><li>Weather in California is too nice to work indoors.</li> </ul>",Summer
Fulfillment Team,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,20,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b><ul><li>Paul appreciated John for helping with Ruby.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i> <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li><li>Switch from cruise control to jenkins.</li> </ul><b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul><b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i><ul> <li>Not enough professional development offered to team</li><li>Weather in California is too nice to work indoors.</li> </ul>",Summer
Online Store,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,18,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b><ul><li>Paul appreciated John for helping with Ruby.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i> <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li><li>Switch from cruise control to jenkins.</li> </ul><b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul><b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i><ul> <li>Not enough professional development offered to team</li><li>Weather in California is too nice to work indoors.</li> </ul>",Summer
Payment Team,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,18,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b> <ul> <li>Paul appreciated John for helping with Ruby.</li> </ul> <b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i>  <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li> <li>Switch from cruise control to jenkins.</li> </ul> <b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i> <ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul> <b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i> <ul> <li>Not enough professional development offered to team</li> <li>Weather in California is too nice to work indoors.</li> </ul>",Summer
Reseller Portal Team,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,18,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b><ul><li>Paul appreciated John for helping with Ruby.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i> <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li><li>Switch from cruise control to jenkins.</li> </ul><b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul><b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i><ul> <li>Not enough professional development offered to team</li><li>Weather in California is too nice to work indoors.</li> </ul>",Summer
Reseller Site,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,18,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b><ul><li>Paul appreciated John for helping with Ruby.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i> <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li><li>Switch from cruise control to jenkins.</li> </ul><b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul><b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i><ul> <li>Not enough professional development offered to team</li><li>Weather in California is too nice to work indoors.</li> </ul>",Summer
Shopping Team,Iteration 5,11/6/2017 9:35,11/19/2017 9:35,40,Accepted,<ul><li>Internationalize</li></ul>,"<u>Retrospective Notes</u>&nbsp;&nbsp;(<i><b>Facilitator:</b> David, <b>Scribe:</b> Paul</i>)<br /><br /><b>Appreciations</b><ul><li>Paul appreciated John for helping with Ruby.</li></ul><b>Team Control</b>&nbsp;&nbsp;<i>(Create our own reality)</i> <ul> <li>Rule of 3: Three people (PO/Dev/QA) need to be involved in any conversation about requirements.</li><li>Switch from cruise control to jenkins.</li> </ul><b>Team Influence</b>&nbsp;&nbsp;<i>(ASK's of the organization)</i><ul> <li>Can we move off of clearcase?</li> <li>Request User Story writing workshop.</li> </ul><b>Soup</b>&nbsp;&nbsp;<i>(Everything else)</i><ul> <li>Not enough professional development offered to team</li><li>Weather in California is too nice to work indoors.</li> </ul>",Summer
Analytics Team,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
API Team,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Consumer Site,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Fulfillment Team,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Online Store,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Payment Team,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Platform,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Reseller Portal Team,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Reseller Site,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,20,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Shopping Team,Iteration 6,11/20/2017 9:35,12/3/2017 9:35,40,Committed,<ul><li>Be able to complete the purchase</li><li>Be able to search for an item</li><li>Spikes</li></ul>,,Summer
Analytics Team,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
API Team,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Consumer Site,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Fulfillment Team,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Online Store,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Payment Team,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Platform,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Reseller Portal Team,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Reseller Site,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,22,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Shopping Team,Iteration 7,12/4/2017 9:35,12/17/2017 9:35,40,Planning,<ul><li>Hardening for OM</li></ul>,,Summer
Analytics Team,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
API Team,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
