Name,KanbanState,ScheduleState,Owner,Requirement,Project,Iteration,Release,PlanEstimate,Severity,State,Environment,Priority,Ready,Resolution,Blocked,BlockedReason,Description,Notes,DisplayColor,dataset
Weird formatting -> Totals GUI,,Defined,,,Shopping Team,,,,Cosmetic,Submitted,Staging,Low,FALSE,None,FALSE,,"The formatting for the totals/costs GUI is distorted.&nbsp; The total cost field is appearing on the very left side of the browser, when it should be beneath all of the other calculation fields on the right side of the browser.",,,Summer
Unable to login after entering reset password,Ready for Dev,Defined,dudley@acme.com,,Shopping Team,Iteration 6,R2,3,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,,,,Summer
User's password shown in plain text in recovery email,Accepted,Accepted,diane@acme.com,,Shopping Team,Iteration 5,R2,3,Major Problem,Fixed,Production,Resolve Immediately,FALSE,None,FALSE,,,,,Summer
Button color on checkout page does not match blue hue per design specs,Accepted,Accepted,daniel@acme.com,,Shopping Team,Iteration 5,R2,2,Cosmetic,Fixed,Production,Normal,FALSE,None,FALSE,,,,,Summer
Old font found on contact us page,Accepted,Accepted,daniel@acme.com,,Shopping Team,Iteration 5,R2,2,Minor Problem,Fixed,Production,Normal,FALSE,None,FALSE,,,,,Summer
Unable to login after entering invalid password,In Test,In-Progress,dudley@acme.com,,Shopping Team,Iteration 6,R2,3,Crash/Data Loss,Open,Production,High Attention,FALSE,None,FALSE,,,,,Summer
"""Remember me"" cookie not working",Accepted,Accepted,daniel@acme.com,,Shopping Team,Iteration 3,R1,2,Crash/Data Loss,Fixed,Production,High Attention,FALSE,None,FALSE,,,,,Summer
Monthly product re-order is duplicating items,In Dev,In-Progress,daniel@acme.com,,Shopping Team,Iteration 3,R1,1,Crash/Data Loss,Fixed,Production,High Attention,FALSE,None,FALSE,,,,,Summer
Unable to check status of past orders,Accepted,Accepted,diane@acme.com,,Shopping Team,Iteration 2,R1,2,Minor Problem,Fixed,Production,Normal,FALSE,None,FALSE,,,,,Summer
Unable to undelete an order from history,Accepted,Accepted,diane@acme.com,,Shopping Team,Iteration 2,R1,2,Minor Problem,Fixed,Production,Normal,FALSE,None,FALSE,,,,,Summer
302 response code on /api page,Accepted,Accepted,dora@acme.com,,API Team,Iteration 6,R2,5,Major Problem,Open,Production,Normal,FALSE,None,FALSE,,,,,Summer
Unable to connect to staging server with 'v2.0' string,Prioritized,Defined,dora@acme.com,,API Team,Iteration 6,R2,3,Minor Problem,Open,Staging,Normal,FALSE,None,FALSE,,,,,Summer
CCV codes not being verified on checkout path,Prioritized,Defined,dave@acme.com,,Payment Team,Iteration 6,R2,3,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,,,,Summer
Mastercard not showing in valid CC dropdown list on checkout path,,Defined,,,Payment Team,Iteration 6,R2,3,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,,,,Summer
