Name,Time Criticality,RR/OE Value,Risk Score,Job Size,InvestmentCategory,Project,Owner,Parent,Release,PlannedStartDate,PlannedEndDate,Description,DisplayColor,Notes,Ready,ValueScore,PreliminaryEstimate,State,dataset
Implement Fraud Detection,,,,,Strategic Growth,Payment Team,patricia@acme.com,Minimal online shopping site,R3,1/13/2018 9:48,2/19/2018 9:48,see business case attached,,,FALSE,6,XL,Develop,Summer
 ========^^^^ R3 ^^^^========,,,,,None,Consumer Site,,,,,,,,,,,,,Summer
Provide public API to support 3rd party integrations,,,,,Strategic Growth,API Team,peter@acme.com,Integrate social into shopping experience,R2,12/10/2017 9:48,12/31/2017 9:48,"<span style=""color: rgb(0, 0, 0); font-family: arial, helvetica, sans-serif; font-size: 12px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); display: inline !important; float: none;"">Allow 3rd party integrators to access our data.</span>",,,FALSE,3,L,Discover,Summer
Provide link to twitter so users can tweet about products they are researching.,,,,,Short Term Growth,Shopping Team,peter@acme.com,Integrate social into shopping experience,R2,11/13/2017 9:48,12/6/2017 9:48,,,,FALSE,3,M,Discover,Summer
Suggest products purchased by friends,,,,,Strategic Growth,Shopping Team,peter@acme.com,Integrate social into shopping experience,R2,12/17/2017 9:48,12/31/2017 9:48,,,,FALSE,5,XL,Discover,Summer
Cross sell related products,,,,,Strategic Growth,Shopping Team,peter@acme.com,Integrate social into shopping experience,R2,12/10/2017 9:48,12/24/2017 9:48,,,,FALSE,3,M,Propose,Summer
Allow user to vote on products,1,1,0,1,Strategic Growth,Shopping Team,peter@acme.com,Integrate social into shopping experience,R2,11/20/2017 9:48,12/6/2017 9:48,,,,FALSE,4,L,Discover,Summer
Integrate with Amex Gateway,,,,,None,Payment Team,patricia@acme.com,Minimal online shopping site,,,,see business case attached,,,FALSE,6,XL,Discover,Summer
Support cash/check by mail,,,,,None,Payment Team,patricia@acme.com,Minimal online shopping site,,,,see business case attached,,,FALSE,6,,Propose,Summer
Backorder fulfillment,,,,,None,Fulfillment Team,pam@acme.com,Minimal online shopping site,,,,,,,,,,,Summer
Duplcate order fulfillment,,,,,None,Fulfillment Team,pam@acme.com,Minimal online shopping site,,,,,,,,,L,Discover,Summer
Integrate with coupon.com site to match *popular* items in shopping cart,1,1,2,1,Cost Savings,API Team,aaron@acme.com,Integrate social into shopping experience,R2,11/6/2017 9:48,12/10/2017 9:48,"<span class=""rally-rte-class-0fdfe95d069988"">Coupons.com is a premier supplier of coupons.</span>  <div class=""rally-rte-class-0355e3c0ca0a138""><br class=""rally-rte-class-0655ac2f5dd0ba8"" /></div> <div class=""rally-rte-class-0355e3c0ca0a138"">Match popular coupons with features in the users' cart.</div>",,,FALSE,8,L,Discover,Summer
Order purchase API,,,,,Strategic Growth,API Team,aaron@acme.com,Build read-write API for handling orders,R2,11/6/2017 9:48,12/24/2017 9:48,"<span class=""rally-rte-class-0fdfe95d069988"">Coupons.com is a premier supplier of coupons.</span>  <div class=""rally-rte-class-0355e3c0ca0a138""><br class=""rally-rte-class-0655ac2f5dd0ba8"" /></div> <div class=""rally-rte-class-0355e3c0ca0a138"">Match popular coupons with features in the users' cart.</div>",,,FALSE,8,L,Discover,Summer
Order history API,,,,,Strategic Growth,API Team,aaron@acme.com,Build read-write API for handling orders,R2,11/20/2017 9:48,12/17/2017 9:48,"<span class=""rally-rte-class-0fdfe95d069988"">Coupons.com is a premier supplier of coupons.</span>  <div class=""rally-rte-class-0355e3c0ca0a138""><br class=""rally-rte-class-0655ac2f5dd0ba8"" /></div> <div class=""rally-rte-class-0355e3c0ca0a138"">Match popular coupons with features in the users' cart.</div>",,,FALSE,8,M,Discover,Summer
Security layer for read-write API,,,,,None,API Team,aaron@acme.com,Build read-write API for handling orders,R2,12/6/2017 9:48,12/24/2017 9:48,"<span class=""rally-rte-class-0fdfe95d069988"">Coupons.com is a premier supplier of coupons.</span>  <div class=""rally-rte-class-0355e3c0ca0a138""><br class=""rally-rte-class-0655ac2f5dd0ba8"" /></div> <div class=""rally-rte-class-0355e3c0ca0a138"">Match popular coupons with features in the users' cart.</div>",,,FALSE,8,S,Discover,Summer
 ========^^^^ UNSCHED ^^^^========,,,,,None,Consumer Site,,,,,,,,,,,,,Summer
Purchase single product,,,,,Short Term Growth,Shopping Team,peter@acme.com,Minimal online shopping site,R1,9/11/2017 9:48,10/21/2017 9:48,,,,FALSE,10,M,Open Beta,Summer
Knowledgebase,2,2,1,5,Short Term Growth,Fulfillment Team,pam@acme.com,Minimal online shopping site,R1,9/20/2017 9:48,10/18/2017 9:48,,,,FALSE,1,L,Done,Summer
Homepage,,,,,Cost Savings,Shopping Team,peter@acme.com,Minimal online shopping site,R1,10/11/2017 9:48,11/5/2017 9:48,,,,FALSE,7,L,Internal Release,Summer
Product purchase confirmation,,,,,Strategic Growth,Shopping Team,peter@acme.com,Minimal online shopping site,R1,9/17/2017 9:48,10/27/2017 9:48,,,,FALSE,3,XL,Done,Summer
Returned shipments,,,,,Strategic Growth,Fulfillment Team,pam@acme.com,Minimal online shopping site,R1,9/17/2017 9:48,10/27/2017 9:48,,,,,,,Develop,Summer
Search for products,,,,,Short Term Growth,Shopping Team,peter@acme.com,Minimal online shopping site,R1,10/5/2017 9:48,10/18/2017 9:48,,,,FALSE,5,M,Open Beta,Summer
Archive packing slips,,,,,Strategic Growth,Fulfillment Team,pam@acme.com,Personalized online shopping experience,R1,9/17/2017 9:48,10/27/2017 9:48,,,,FALSE,4,M,Done,Summer
