Name,Owner,Project,TestFolder,WorkProduct,Method,Description,Objective,PostConditions,PreConditions,Priority,Ready,Risk,Type,ValidationExpectedResult,ValidationInput,listing_order
Select MAX+1 Items,tara@acme.com,Shopping Team,Checkout,Purchase Your Items,Manual,,To test   the functionality of the purchase options in the shopping site.,Logoff and   clear the browser cache so that no lingering test data gets saved.   &nbsp;Reset the account history details in the shopping application.,A browser   connection to the shopping site is required. &nbsp;Please ensure that your   browser is updated to the latest version for your platform. &nbsp;A   registered User ID is also required.,Important,FALSE,Low,Acceptance,An email   should be sent to your user id&nbsp;summarizing&nbsp;your completed purchase.,The   purchase complete window should list your order details that were purchased.,25
Shipping Address and Billing Address must match,tara@acme.com,Shopping Team,,Validate Customer Contact/Shipping info,Manual,,,,,Important,FALSE,Low,Acceptance,,,26
Shipping Calculations,tony@acme.com,Fulfillment Team,,Calculate Split Shipping,Manual,,,,,Important,FALSE,Low,Acceptance,,,27
"System should support 10,000 concurrent users",tara@acme.com,Shopping Team,,"System should support 10,000 concurrent users",Manual,,,,,Important,FALSE,Low,Acceptance,,,28
Tracking Information,tara@acme.com,Shopping Team,Order Status,,Manual,,,,,Important,FALSE,Low,Acceptance,,,29
Update Total Shipping Cost,tony@acme.com,Fulfillment Team,,Calculate Split Shipping,Manual,,,,,Important,FALSE,Low,Acceptance,,,30
Updated Totals,tony@acme.com,Fulfillment Team,,Calculate Split Shipping,Manual,,,,,Useful,FALSE,Low,Acceptance,,,31
Validate Email Address - Email Authentication,tara@acme.com,Shopping Team,Login/Authentication,Validate Customer Contact/Shipping info,Manual,,,,,Important,FALSE,Low,Acceptance,,,32
Validate Email Address - Invalid Address Handling,tara@acme.com,Shopping Team,Login/Authentication,Validate Customer Contact/Shipping info,Manual,,,,,Useful,FALSE,Low,Acceptance,,,33
Validate Email Address - Permissions,tara@acme.com,Shopping Team,Login/Authentication,Validate Customer Contact/Shipping info,Manual,,,,,Important,FALSE,Low,Acceptance,,,34
Validate website must be available 24x7,tara@acme.com,Shopping Team,,Website must be available 24x7,Manual,,,,,Critical,FALSE,Low,Acceptance,,,35
Failed Test Case for Demonstration,,Medical Records App,,Prescription Administration Updates,Automated,,,,,,FALSE,,Functional,,,36
CheckNewPatient-QA,,Medical Records App,,Admin - Accept new patients,Manual,,,,,,FALSE,,Acceptance,,,37
CheckExistingPatient-QA,,Medical Records App,,Admin - Accept new patients,Manual,,,,,,FALSE,,Acceptance,,,38
