name,kanbanstate,schedulestate,owner,requirement,project,iteration,release,planestimate,severity,state,environment,priority,ready,resolution,blocked,blockedreason,description,notes,displaycolor,listing_order
Browser shows non-validated security key on payment form page,Prioritized,Defined,,,Payment Team,,,2,Minor Problem,Open,Production,Normal,FALSE,None,FALSE,,Browser prompts to confirm security exception.,,,24
Only one selected item is being added to the cart,Ready for Acceptance,Completed,daniel@acme.com,Purchase Your Items,Shopping Team,Iteration 6,R2,3,Minor Problem,Fixed,Development,Normal,FALSE,None,FALSE,,Steps:<br /> <ul><li>Logged in as a customer</li><li>Selected multiple items to add to cart at once</li><li>Clicked 'Add to Cart'</li><li>Clicked 'View My Cart'</li><li>Only the first item chosen was actually added to the cart<br /></li></ul>,,,25
Recurring 'No Address' Warning,Ready for Acceptance,Completed,,,Shopping Team,,,3,Minor Problem,Fixed,Staging,Normal,FALSE,None,FALSE,,"Steps:<br /> <ul><li>Created a new account, but didn't enter an address</li><li>Logged in as the new user, system displayed a message asking for address information</li><li>Enter a valid address and click save</li><li>For every following action within the same shopping session, the system warned that no address information had been entered, even though it was still saved and visible<br /></li></ul>",,,26
Production Defect in accessing shopping cart,,Defined,,,Shopping Team,,,2,Crash/Data Loss,Open,Development,Resolve Immediately,FALSE,None,FALSE,,Error 404 - Not Found when trying to navigate to the shopping cart.,,,27
State drop down doesn't contain any items,Ready for Acceptance,Completed,dudley@acme.com,,Shopping Team,Iteration 6,R2,3,Major Problem,Fixed,Development,High Attention,FALSE,None,FALSE,,The customer should enter the following shipping information:<br /><br /> <ul><li>Name</li><li>Address</li><li>City</li><li>State (drop down)</li><li>Country (drop down)</li><li>Zip/Country Code</li></ul>,,,28
Code verification completely broken!,,Defined,,,Shopping Team,,,3,Crash/Data Loss,Open,Development,Resolve Immediately,FALSE,None,FALSE,,"The application accepts any 6 character long string as a valid promotional code and applies the maximum discount to the order!<br /><br />Steps:<br /> <ul><li>Logged in as a customer, choose a few items to purchase</li><li>Enter an invalid promotional code (of correct length) in the editable field</li><li>Click update</li><li>Maximum discount is applied to the order</li></ul>This occurs for any codes entered that contain 6 characters.",,,29
(Auto) Fitnesse Test Failed for GUI - Checkout Button,,Defined,daniel@acme.com,Purchase Your Items,Shopping Team,,,1,Major Problem,Open,Development,High Attention,FALSE,None,FALSE,,Please see Fitnesse Result Logs for more information.,,,30
latest Promo Code is invalid.,Accepted,Accepted,diane@acme.com,,Shopping Team,Iteration 6,R2,,Cosmetic,Closed,Development,Low,FALSE,None,FALSE,,"On the payment screen, the Promo Code field label formatting is incorrect.&nbsp; Currently it is bold and italic, thought it should just be bold to match the rest of the field labels.<br /><br /><i><b>Promo Code</b></i> -&gt; <b>Promo Code</b>",,,31
(Auto) Fitnesse Test Failed for Calculations,Ready for Dev,Defined,,,Shopping Team,Iteration 6,R2,3,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,Please see Fitnesse Result Logs for more information.,,,32
Weird formatting -> Totals GUI,,Defined,,,Shopping Team,,,,Cosmetic,Submitted,Staging,Low,FALSE,None,FALSE,,"The formatting for the totals/costs GUI is distorted.&nbsp; The total cost field is appearing on the very left side of the browser, when it should be beneath all of the other calculation fields on the right side of the browser.",,,33
Unable to login after entering reset password,Ready for Dev,Defined,dudley@acme.com,,Shopping Team,Iteration 6,R2,3,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,,,,34
User's password shown in plain text in recovery email,Accepted,Accepted,diane@acme.com,,Shopping Team,Iteration 5,R2,3,Major Problem,Fixed,Production,Resolve Immediately,FALSE,None,FALSE,,,,,35
Button color on checkout page does not match blue hue per design specs,Accepted,Accepted,daniel@acme.com,,Shopping Team,Iteration 5,R2,2,Cosmetic,Fixed,Production,Normal,FALSE,None,FALSE,,,,,36
Old font found on contact us page,Accepted,Accepted,daniel@acme.com,,Shopping Team,Iteration 5,R2,2,Minor Problem,Fixed,Production,Normal,FALSE,None,FALSE,,,,,37
Unable to login after entering invalid password,In Test,In-Progress,dudley@acme.com,,Shopping Team,Iteration 6,R2,3,Crash/Data Loss,Open,Production,High Attention,FALSE,None,FALSE,,,,,38
"""Remember me"" cookie not working",Accepted,Accepted,daniel@acme.com,,Shopping Team,Iteration 3,R1,2,Crash/Data Loss,Fixed,Production,High Attention,FALSE,None,FALSE,,,,,39
Monthly product re-order is duplicating items,In Dev,In-Progress,daniel@acme.com,,Shopping Team,Iteration 3,R1,1,Crash/Data Loss,Fixed,Production,High Attention,FALSE,None,FALSE,,,,,40
Unable to check status of past orders,Accepted,Accepted,diane@acme.com,,Shopping Team,Iteration 2,R1,2,Minor Problem,Fixed,Production,Normal,FALSE,None,FALSE,,,,,41
Unable to undelete an order from history,Accepted,Accepted,diane@acme.com,,Shopping Team,Iteration 2,R1,2,Minor Problem,Fixed,Production,Normal,FALSE,None,FALSE,,,,,42
302 response code on /api page,Accepted,Accepted,dora@acme.com,,API Team,Iteration 6,R2,5,Major Problem,Open,Production,Normal,FALSE,None,FALSE,,,,,43
Unable to connect to staging server with 'v2.0' string,Prioritized,Defined,dora@acme.com,,API Team,Iteration 6,R2,3,Minor Problem,Open,Staging,Normal,FALSE,None,FALSE,,,,,44
CCV codes not being verified on checkout path,Prioritized,Defined,dave@acme.com,,Payment Team,Iteration 6,R2,3,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,,,,45
Mastercard not showing in valid CC dropdown list on checkout path,,Defined,,,Payment Team,Iteration 6,R2,3,Major Problem,Open,Production,High Attention,FALSE,None,FALSE,,,,,46
